symbol,current_price,volume_ratio,rsi,timeframe_aligned,setup_quality
JTOUSDT,3.238,0.2319597359494209,64.56330047251404,True,A+
DEXEUSDT,15.924,0.2130029192866642,36.41672936848347,True,A+
AIXBTUSDT,0.4422,0.17371768703952256,33.53017725723146,True,A+
MKRUSDT,1091.0,0.16948639490118556,26.48775389476664,True,A+
LISTAUSDT,0.2438,0.16616756148461678,35.26345875030691,True,A+
RONINUSDT,1.453,0.13956692996033626,36.391344651646186,True,A+
IOUSDT,2.63,0.1344874775176789,35.65036834684021,True,A+
ARBUSDT,0.6002,0.1280034190411941,36.57255824956079,True,A+
RENDERUSDT,5.419,0.11450703771128934,33.3823452753921,True,A+
FETUSDT,0.982,0.11173524174050754,32.974245901448185,True,A+
RLCUSDT,1.568,0.08576701669149316,35.254141794944886,True,A+
CVXUSDT,2.889,0.0841409107229077,36.411340477117314,True,A+
ATMUSDT,1.645,0.0775233030932761,35.856577287521716,True,A+
OMNIUSDT,6.82,0.06145485881737954,36.299102055939734,True,A+
HFTUSDT,0.1447,1.2818075256050105,44.3845030389801,True,A
KAVAUSDT,0.4146,0.4446666709503185,40.56612072513169,True,A
VANAUSDT,8.869,0.39193413776540253,43.62458469407873,True,A
CHRUSDT,0.153,0.316322003942533,40.82777353222043,True,A
STORJUSDT,0.4083,0.2925887351975058,40.39797991410006,True,A
FXSUSDT,2.424,0.24909605375125946,39.47377635782805,True,A
EGLDUSDT,27.97,0.2343642740029096,42.919078730743806,True,A
MAGICUSDT,0.3293,0.1972231265774562,43.840594827209074,True,A
PERPUSDT,0.5989,0.19496522489378162,42.191813838278925,True,A
GLMUSDT,0.314,0.1921620472522495,40.03033144939876,True,A
BANDUSDT,1.126,0.19126036996435478,41.54575096282266,True,A
SCRUSDT,0.646,0.17931456265603177,44.681516824054114,True,A
ILVUSDT,28.74,0.17602261421882182,39.26116450080137,True,A
MASKUSDT,2.182,0.17557039288899304,45.16678481698296,True,A
WUSDT,0.2121,0.1733916141190346,46.7687418646541,True,A
CAKEUSDT,1.935,0.16759836801590217,44.01484174869783,True,A
COMPUSDT,68.19,0.1607996666371629,41.279931879577155,True,A
FLOWUSDT,0.615,0.15734530236577834,40.42176780703376,True,A
ZRXUSDT,0.3996,0.15588197143034171,42.54236346210468,True,A
ARKMUSDT,1.07,0.14690281460465626,41.06056020637308,True,A
NTRNUSDT,0.2637,0.14259753664912012,37.18809666610679,True,A
ACEUSDT,1.383,0.14182665587462226,40.318358939320056,True,A
WOOUSDT,0.1539,0.1398741339320046,40.51642404377261,True,A
STXUSDT,1.241,0.13530472716555783,40.27661161879816,True,A
NMRUSDT,12.0,0.1349639499676924,42.47638554330853,True,A
GLMRUSDT,0.16,0.1344972710773251,39.47874336825691,True,A
SANDUSDT,0.5086,0.13442770692214553,43.521522078504105,True,A
AUCTIONUSDT,11.86,0.13247634084322046,41.948975836028055,True,A
IDUSDT,0.3386,0.13040099822017848,37.6055409497228,True,A
MOVEUSDT,0.8079,0.1289487005492376,59.15065176176304,True,A
MEUSDT,1.808,0.1259477808289191,42.83896000784875,True,A
BAKEUSDT,0.1769,0.12543872617885088,39.39552192267539,True,A
SNXUSDT,1.499,0.12380317387928162,47.53535412958803,True,A
LPTUSDT,10.539,0.12310729041855116,38.20921092970749,True,A
AVAXUSDT,32.49,0.12187395370344474,38.08452499603423,True,A
ETHUSDT,3097.17,0.11916306017841294,41.012904895438815,True,A
MINAUSDT,0.4468,0.11909909141325115,40.44448650121041,True,A
ORDIUSDT,17.93,0.11867942980441602,42.86099691962498,True,A
MANTAUSDT,0.577,0.1168672321656989,41.30839489988693,True,A
SAGAUSDT,1.0816,0.11463673235516869,44.47821624132592,True,A
SEIUSDT,0.3036,0.11103881852884583,41.43423117955318,True,A
PNUTUSDT,0.2493,0.10831728558073767,37.666302598299026,True,A
CETUSUSDT,0.1921,0.1076018860147122,42.81752823170367,True,A
APTUSDT,7.38,0.10738046712788596,41.8950142918306,True,A
NFPUSDT,0.1782,0.10729106218739758,39.20886499113363,True,A
PYTHUSDT,0.2713,0.10710985319496118,38.58709904936263,True,A
ALICEUSDT,0.905,0.1062502055945999,41.634627728810784,True,A
DYMUSDT,0.889,0.10597428733736186,37.18255672177147,True,A
