symbol,direction,current_price,sweep_price,fvg_price,gap_percent,candles_between,setup_quality
BTCUSDT,BEARISH,103999.99,103691.63,102260.01,1.3806514566315622,1,A+
BTCUSDT,BEARISH,103999.99,103691.63,102260.01,1.3806514566315622,1,A+
ETHUSDT,BEARISH,3123.46,3385.67,3381.31,0.1287780557467245,1,A
ETHUSDT,BEARISH,3123.46,3280.68,3327.29,1.420742041284128,1,A+
ETHUSDT,BEARISH,3123.46,3280.68,3327.29,1.420742041284128,1,A+
ETHUSDT,BEARISH,3123.46,3149.97,3149.97,0.0,0,A
ETHUSDT,BEARISH,3123.46,3149.97,3149.97,0.0,0,A
BNBUSDT,BEARISH,671.64,729.42,729.42,0.0,0,A
BNBUSDT,BEARISH,671.64,683.05,697.88,2.1711441329331738,1,A+
BNBUSDT,BEARISH,671.64,683.05,697.88,2.1711441329331738,1,A+
NEOUSDT,BEARISH,13.12,14.66,14.66,0.0,0,A
QTUMUSDT,BEARISH,2.757,3.147,3.147,0.0,0,A
EOSUSDT,BEARISH,0.7391,0.9374,0.9374,0.0,0,A
EOSUSDT,BEARISH,0.7391,0.9258,0.9258,0.0,0,A
XLMUSDT,BEARISH,0.3947,0.4258,0.4258,0.0,0,A
ONTUSDT,BEARISH,0.2102,0.2248,0.2248,0.0,0,A
ETCUSDT,BEARISH,25.65,25.11,25.11,0.0,0,A
ZRXUSDT,BEARISH,0.4035,0.4565,0.4565,0.0,0,A
FETUSDT,BEARISH,0.993,1.187,1.187,0.0,0,A
BATUSDT,BEARISH,0.214,0.2286,0.2286,0.0,0,A
ZECUSDT,BEARISH,42.7,46.99,47.53,1.1491806767397301,1,A
ZECUSDT,BEARISH,42.7,44.01,44.01,0.0,0,A
ZECUSDT,BEARISH,42.7,44.01,44.01,0.0,0,A
ZECUSDT,BEARISH,42.7,44.01,44.01,0.0,0,A
DASHUSDT,BEARISH,32.52,39.4,39.4,0.0,0,A
DASHUSDT,BEARISH,32.52,33.26,33.26,0.0,0,A
DASHUSDT,BEARISH,32.52,39.53,39.53,0.0,0,A
THETAUSDT,BEARISH,1.904,2.042,2.184,6.953966699314415,1,A+
ENJUSDT,BEARISH,0.1455,0.2104,0.2104,0.0,0,A
DOGEUSDT,BEARISH,0.32684,0.36289,0.36289,0.0,0,A
DOGEUSDT,BEARISH,0.32684,0.36289,0.36289,0.0,0,A
DUSKUSDT,BEARISH,0.1563,0.2125,0.2125,0.0,0,A
DUSKUSDT,BEARISH,0.1563,0.1865,0.1865,0.0,0,A
