symbol,direction,entry_price,stop_price,target_price,rr_ratio,setup_quality,has_smt
GLMRUSDT,BULLISH,0.183,0.1755,0.2284,6.0533333333333275,A++,True
RUNEUSDT,BULLISH,2.062,2.093,4.614,82.32258064516093,A,False
DYMUSDT,BULLISH,0.942,0.936,1.313,61.83333333333442,A,False
ARKMUSDT,BULLISH,1.251,1.244,1.419,24.00000000000038,A,False
ACEUSDT,BULLISH,1.551,1.527,2.042,20.45833333333331,A,False
CFXUSDT,BULLISH,0.1451,0.1444,0.156,15.571428571428424,A,False
GMXUSDT,BULLISH,24.35,24.0,29.69,15.257142857142794,A,False
JTOUSDT,BULLISH,2.901,2.868,3.255,10.727272727272757,A,False
CTXCUSDT,BULLISH,0.2448,0.2412,0.2757,8.583333333333355,A,False
ETCUSDT,BULLISH,25.43,25.07,28.5,8.527777777777793,A,False
ARUSDT,BULLISH,16.73,16.49,18.75,8.416666666666595,A,False
TNSRUSDT,BULLISH,0.3763,0.3787,0.394,7.375000000000127,A,False
PSGUSDT,BULLISH,2.713,2.803,3.33,6.855555555555567,A,False
CHRUSDT,BULLISH,0.1583,0.1487,0.216,6.010416666666669,A,False
STEEMUSDT,BULLISH,0.2504,0.2567,0.2813,4.904761904761924,A,False
JOEUSDT,BULLISH,0.3353,0.3442,0.3696,3.8539325842696543,A,False
RLCUSDT,BULLISH,1.722,1.835,2.12,3.522123893805311,A,False
ETHFIUSDT,BULLISH,1.79,1.709,2.035,3.024691358024694,A,False
