symbol,direction,zone_type,zone_accuracy,entry_price,stop_price,tp1,tp2,rr_ratio
CVCUSDT,SHORT,normal,normal,0.14,0.1358,0.12739999999999999,0.09799999999999992,3.0
CVCUSDT,SHORT,normal,normal,0.1403,0.1352,0.12499999999999994,0.0892999999999998,3.0
CVCUSDT,SHORT,accuracy,accuracy,0.1412,0.1349,0.12229999999999999,0.07819999999999999,3.0
CVCUSDT,SHORT,normal,normal,0.1403,0.1385,0.13490000000000002,0.12230000000000005,3.0
CVCUSDT,SHORT,normal,normal,0.1414,0.1386,0.133,0.11340000000000003,3.0
CVCUSDT,SHORT,normal,normal,0.1414,0.1382,0.13179999999999997,0.10939999999999991,3.0
CVCUSDT,SHORT,normal,normal,0.1414,0.1389,0.1339,0.11639999999999998,3.0
CVCUSDT,SHORT,accuracy,accuracy,0.1414,0.1386,0.133,0.11340000000000003,3.0
CVCUSDT,SHORT,normal,normal,0.1397,0.1392,0.1382,0.1347,3.0
CVCUSDT,SHORT,normal,normal,0.1391,0.1391,0.1391,0.1391,
CVCUSDT,SHORT,normal,normal,0.1391,0.1389,0.13849999999999998,0.13709999999999994,3.0
CVCUSDT,SHORT,normal,normal,0.1391,0.1383,0.13670000000000002,0.13110000000000005,3.0
CVCUSDT,SHORT,accuracy,accuracy,0.1389,0.1386,0.138,0.13590000000000005,3.0
CVCUSDT,SHORT,normal,normal,0.1396,0.1383,0.13570000000000002,0.12660000000000005,3.0
CVCUSDT,SHORT,normal,normal,0.1399,0.1381,0.1345,0.12190000000000004,3.0
CVCUSDT,SHORT,normal,normal,0.1399,0.1378,0.13360000000000002,0.11890000000000009,3.0
CVCUSDT,SHORT,normal,normal,0.1399,0.1376,0.133,0.11690000000000003,3.0
CVCUSDT,SHORT,normal,normal,0.1353,0.1348,0.1338,0.1303,3.0
CVCUSDT,SHORT,normal,normal,0.1363,0.1353,0.1333,0.1263,3.0
CVCUSDT,SHORT,normal,normal,0.1379,0.1372,0.13579999999999998,0.13089999999999993,3.0
CVCUSDT,SHORT,normal,normal,0.1379,0.1377,0.13729999999999998,0.13589999999999994,3.0
CVCUSDT,SHORT,normal,normal,0.1379,0.1379,0.1379,0.1379,
CVCUSDT,SHORT,normal,normal,0.1379,0.138,0.13759999999999994,0.13689999999999983,3.0
CVCUSDT,SHORT,normal,normal,0.1379,0.1381,0.13729999999999998,0.13589999999999994,3.0
CVCUSDT,SHORT,normal,normal,0.1379,0.1381,0.13729999999999998,0.13589999999999994,3.0
CVCUSDT,SHORT,accuracy,accuracy,0.1379,0.1385,0.13609999999999994,0.13189999999999982,3.0
CVCUSDT,SHORT,normal,normal,0.1379,0.1385,0.13609999999999994,0.13189999999999982,3.0
CVCUSDT,SHORT,normal,normal,0.1384,0.1379,0.1369,0.1334,3.0
BANDUSDT,SHORT,normal,normal,1.177,1.138,1.0599999999999996,0.7869999999999986,3.0
BANDUSDT,SHORT,normal,normal,1.196,1.155,1.0730000000000002,0.7860000000000007,3.0
BANDUSDT,SHORT,normal,normal,1.195,1.144,1.0419999999999996,0.6849999999999985,3.0
BANDUSDT,SHORT,normal,normal,1.195,1.145,1.045,0.6949999999999996,3.0
BANDUSDT,SHORT,normal,normal,1.199,1.156,1.0699999999999996,0.7689999999999986,3.0
BANDUSDT,SHORT,normal,normal,1.192,1.158,1.0899999999999999,0.8519999999999996,3.0
BANDUSDT,SHORT,normal,normal,1.189,1.16,1.1019999999999996,0.8989999999999987,3.0
BANDUSDT,SHORT,normal,normal,1.189,1.155,1.087,0.8489999999999998,3.0
BANDUSDT,SHORT,normal,normal,1.189,1.152,1.0779999999999996,0.8189999999999986,3.0
BANDUSDT,SHORT,normal,normal,1.19,1.157,1.0910000000000002,0.8600000000000008,3.0
BANDUSDT,SHORT,normal,normal,1.196,1.153,1.0670000000000002,0.7660000000000007,3.0
BANDUSDT,SHORT,normal,normal,1.196,1.152,1.0639999999999998,0.7559999999999996,3.0
BANDUSDT,SHORT,normal,normal,1.131,1.126,1.1159999999999997,1.0809999999999989,3.0
BANDUSDT,SHORT,normal,normal,1.131,1.129,1.125,1.111,3.0
BANDUSDT,SHORT,accuracy,accuracy,1.131,1.137,1.113,1.071,3.0
BANDUSDT,SHORT,normal,normal,1.147,1.141,1.129,1.087,3.0
BANDUSDT,SHORT,normal,normal,1.147,1.147,1.147,1.147,
BANDUSDT,SHORT,normal,normal,1.147,1.148,1.1440000000000003,1.1370000000000011,3.0
BANDUSDT,SHORT,normal,normal,1.147,1.14,1.1259999999999997,1.0769999999999988,3.0
BANDUSDT,SHORT,normal,normal,1.147,1.143,1.135,1.107,3.0
BANDUSDT,SHORT,normal,normal,1.147,1.139,1.123,1.067,3.0
BANDUSDT,SHORT,normal,normal,1.147,1.146,1.1439999999999997,1.136999999999999,3.0
BANDUSDT,SHORT,normal,normal,1.147,1.147,1.147,1.147,
BANDUSDT,SHORT,normal,normal,1.147,1.149,1.141,1.127,3.0
BANDUSDT,SHORT,accuracy,accuracy,1.147,1.153,1.129,1.087,3.0
BANDUSDT,SHORT,normal,normal,1.166,1.155,1.1330000000000002,1.056000000000001,3.0
BANDUSDT,SHORT,normal,normal,1.147,1.149,1.141,1.127,3.0
BANDUSDT,SHORT,normal,normal,1.147,1.151,1.135,1.107,3.0
KAVAUSDT,SHORT,normal,normal,0.4309,0.4134,0.37839999999999996,0.25589999999999985,3.0
KAVAUSDT,SHORT,normal,normal,0.4405,0.422,0.38499999999999995,0.25549999999999984,3.0
KAVAUSDT,SHORT,normal,normal,0.4424,0.4203,0.3761,0.22139999999999993,3.0
KAVAUSDT,SHORT,normal,normal,0.4357,0.42,0.3886,0.27870000000000006,3.0
KAVAUSDT,SHORT,accuracy,accuracy,0.4357,0.4189,0.38530000000000003,0.26770000000000016,3.0
KAVAUSDT,SHORT,normal,normal,0.4389,0.4223,0.3891,0.2729,3.0
KAVAUSDT,SHORT,normal,normal,0.4389,0.4213,0.3861,0.26289999999999997,3.0
KAVAUSDT,SHORT,normal,normal,0.4379,0.4264,0.4034,0.3228999999999999,3.0
KAVAUSDT,SHORT,normal,normal,0.4379,0.4255,0.40069999999999995,0.3138999999999998,3.0
RLCUSDT,SHORT,normal,normal,1.718,1.589,1.331,0.42799999999999994,3.0
RLCUSDT,SHORT,normal,normal,1.718,1.584,1.3160000000000003,0.378000000000001,3.0
RLCUSDT,SHORT,normal,normal,1.743,1.583,1.2629999999999997,0.14299999999999868,3.0
RLCUSDT,SHORT,normal,normal,1.743,1.576,1.242,0.07299999999999973,3.0
RLCUSDT,SHORT,normal,normal,1.751,1.613,1.3370000000000002,0.3710000000000009,3.0
RLCUSDT,SHORT,normal,normal,1.751,1.599,1.2950000000000002,0.23100000000000076,3.0
RLCUSDT,SHORT,normal,normal,1.757,1.606,1.3040000000000005,0.24700000000000188,3.0
RLCUSDT,SHORT,normal,normal,1.73,1.665,1.5350000000000001,1.0800000000000005,3.0
RLCUSDT,SHORT,normal,normal,1.734,1.657,1.5030000000000001,0.9640000000000004,3.0
RLCUSDT,SHORT,normal,normal,1.734,1.649,1.479,0.8840000000000003,3.0
RLCUSDT,SHORT,normal,normal,1.733,1.663,1.523,1.0329999999999995,3.0
RLCUSDT,SHORT,normal,normal,1.74,1.663,1.5090000000000001,0.9700000000000004,3.0
EURUSDT,SHORT,normal,normal,1.0491,1.0432,1.0313999999999999,0.9900999999999998,3.0
EURUSDT,SHORT,normal,normal,1.0491,1.0428,1.0302,0.9861000000000002,3.0
EURUSDT,SHORT,normal,normal,1.0486,1.0431,1.0320999999999998,0.9935999999999994,3.0
EURUSDT,SHORT,normal,normal,1.0452,1.043,1.0386,1.0232,3.0
EURUSDT,SHORT,normal,normal,1.0452,1.0428,1.038,1.0212000000000003,3.0
EURUSDT,SHORT,normal,normal,1.0438,1.0423,1.0393,1.0287999999999995,3.0
EURUSDT,SHORT,normal,normal,1.0438,1.0424,1.0395999999999999,1.0297999999999994,3.0
EURUSDT,SHORT,normal,normal,1.0432,1.0424,1.0408000000000002,1.0352000000000008,3.0
EURUSDT,SHORT,normal,normal,1.0432,1.042,1.0396000000000003,1.0312000000000012,3.0
EURUSDT,SHORT,accuracy,accuracy,1.0433,1.0418,1.0388000000000004,1.0283000000000015,3.0
COMPUSDT,SHORT,normal,normal,69.01,69.21,68.41000000000004,67.01000000000012,3.0
