entry_time,exit_time,entry_price,SL,TP,position_size,partial_closes,trailing_stops,exit_price,duration_hours,outcome,profit_pct,consol_range_pct,vol_ratio,atr,risk_percent
2024-09-19 16:00:00+00:00,2024-09-22 16:00:00+00:00,6.85,6.33,7.629999999999999,1806.3583815028906,"[{'time': Timestamp('2024-09-22 16:00:00+0000', tz='UTC'), 'price': np.float64(7.239999999999999), 'amount': np.float64(596.0982658959539), 'pct': 0.33}]","[{'time': Timestamp('2024-09-22 16:00:00+0000', tz='UTC'), 'price': np.float64(7.9893), 'reason': '3% profit trail'}]",8.0,72.0,TIME EXIT,16.79,18.070175438596493,2.669422405044569,0.2599999999999998,3.7956204379562015
2024-09-20 04:00:00+00:00,2024-09-23 04:00:00+00:00,7.12,6.079999999999999,8.680000000000001,961.5384615384606,"[{'time': Timestamp('2024-09-23 04:00:00+0000', tz='UTC'), 'price': np.float64(7.9), 'amount': np.float64(317.30769230769204), 'pct': 0.33}]","[{'time': Timestamp('2024-09-23 04:00:00+0000', tz='UTC'), 'price': np.float64(8.038799999999998), 'reason': '3% profit trail'}]",7.8,72.0,TIME EXIT,9.55,17.76649746192893,2.0910413833881893,0.5200000000000005,7.303370786516861
2024-09-21 08:00:00+00:00,2024-09-24 08:00:00+00:00,7.7,6.740000000000001,9.139999999999999,1041.6666666666677,[],"[{'time': Timestamp('2024-09-24 08:00:00+0000', tz='UTC'), 'price': np.float64(7.9893), 'reason': '3% profit trail'}]",7.99,72.0,TIME EXIT,3.77,12.83582089552238,1.5764836714965096,0.47999999999999954,6.233766233766228
2024-09-21 12:00:00+00:00,2024-09-24 12:00:00+00:00,8.09,6.6899999999999995,10.190000000000001,714.2857142857141,[],[],7.81,72.0,TIME EXIT,-3.46,15.805022156573123,1.9749899242175104,0.7000000000000002,8.652657601977753
2024-10-04 12:00:00+00:00,2024-10-07 12:00:00+00:00,9.27,8.09,11.04,842.6019548365354,[],[],8.61,72.0,TIME EXIT,-7.12,14.828897338403053,1.2618856541749863,0.5899999999999999,6.364617044228693
2024-10-08 16:00:00+00:00,2024-10-10 00:00:00+00:00,9.36,8.379999999999999,10.83,791.6402786573782,[],[],8.45,32.0,TIME EXIT,-9.72,10.676156583629897,2.0645507657186353,0.4900000000000002,5.235042735042738
2024-10-12 20:00:00+00:00,2024-10-15 20:00:00+00:00,9.93,9.11,11.16,787.6496534341527,"[{'time': Timestamp('2024-10-15 20:00:00+0000', tz='UTC'), 'price': np.float64(10.545), 'amount': np.float64(259.9243856332704), 'pct': 0.33}]","[{'time': Timestamp('2024-10-15 20:00:00+0000', tz='UTC'), 'price': np.float64(10.4643), 'reason': '3% profit trail'}]",10.47,72.0,TIME EXIT,5.44,17.86148238153097,1.2244297544628084,0.41000000000000014,4.128902316213496
2024-10-13 00:00:00+00:00,2024-10-16 00:00:00+00:00,10.06,9.22,11.32,781.7385866166355,[],"[{'time': Timestamp('2024-10-16 00:00:00+0000', tz='UTC'), 'price': np.float64(10.3752), 'reason': '3% profit trail'}]",10.26,72.0,TIME EXIT,1.99,20.0,2.4922012780655627,0.41999999999999993,4.174950298210735
2024-10-22 00:00:00+00:00,2024-10-25 00:00:00+00:00,11.15,8.69,14.840000000000002,406.5040650406503,[],[],10.02,72.0,TIME EXIT,-10.13,5.09683995922528,4.442615653751325,1.2300000000000004,11.03139013452915
2024-10-29 12:00:00+00:00,2024-10-31 20:00:00+00:00,9.95,9.11,11.209999999999999,747.9856745783604,[],[],9.1,56.0,TIME EXIT,-8.54,13.088404133180237,2.241256130877863,0.41999999999999993,4.221105527638191
2024-11-06 00:00:00+00:00,2024-11-09 00:00:00+00:00,9.19,7.630000000000001,11.529999999999998,641.0256410256416,[],"[{'time': Timestamp('2024-11-09 00:00:00+0000', tz='UTC'), 'price': np.float64(9.702), 'reason': '3% profit trail'}]",9.57,72.0,TIME EXIT,4.13,11.757105943152455,1.9762697347185965,0.7799999999999994,8.487486398258971
2024-11-09 20:00:00+00:00,2024-11-12 20:00:00+00:00,10.44,8.860000000000001,12.809999999999997,632.911392405064,"[{'time': Timestamp('2024-11-12 20:00:00+0000', tz='UTC'), 'price': np.float64(11.624999999999998), 'amount': np.float64(208.86075949367114), 'pct': 0.33}]","[{'time': Timestamp('2024-11-12 20:00:00+0000', tz='UTC'), 'price': np.float64(12.4245), 'reason': '3% profit trail'}]",12.36,72.0,TIME EXIT,18.39,6.687898089171982,2.828015965251937,0.7899999999999991,7.56704980842911
2024-11-10 00:00:00+00:00,2024-11-13 00:00:00+00:00,10.73,9.629999999999999,12.380000000000003,826.1731658955717,"[{'time': Timestamp('2024-11-13 00:00:00+0000', tz='UTC'), 'price': np.float64(11.555000000000001), 'amount': np.float64(272.6371447455387), 'pct': 0.33}]","[{'time': Timestamp('2024-11-13 00:00:00+0000', tz='UTC'), 'price': np.float64(12.3354), 'reason': '3% profit trail'}]",11.53,72.0,TIME EXIT,7.46,12.526539278131633,1.8093628802854882,0.5500000000000007,5.1258154706430625
2024-11-10 04:00:00+00:00,2024-11-13 04:00:00+00:00,11.06,9.62,13.220000000000002,694.4444444444438,[],"[{'time': Timestamp('2024-11-13 04:00:00+0000', tz='UTC'), 'price': np.float64(11.810699999999999), 'reason': '3% profit trail'}]",11.88,72.0,TIME EXIT,7.41,12.696747114375665,3.250379888908053,0.7200000000000006,6.5099457504520855
2024-11-11 12:00:00+00:00,2024-11-14 12:00:00+00:00,11.88,9.92,14.820000000000002,510.20408163265284,[],[],11.51,72.0,TIME EXIT,-3.11,12.649071358748765,3.749874446561655,0.9800000000000004,8.249158249158253
2024-11-11 16:00:00+00:00,2024-11-14 16:00:00+00:00,12.22,10.6,14.650000000000002,617.2839506172836,[],[],11.53,72.0,TIME EXIT,-5.65,18.181818181818176,2.333305642024966,0.8100000000000005,6.628477905073653
2024-11-11 20:00:00+00:00,2024-11-14 20:00:00+00:00,13.72,9.700000000000001,19.75,248.75621890547265,[],[],11.24,72.0,TIME EXIT,-18.08,23.558162267839688,2.8432423938587257,2.01,14.65014577259475
2024-12-12 00:00:00+00:00,2024-12-15 00:00:00+00:00,13.92,11.339999999999998,17.790000000000003,387.59689922480595,[],[],13.25,72.0,TIME EXIT,-4.81,23.17188983855652,1.860621017249955,1.290000000000001,9.26724137931035
2024-12-13 08:00:00+00:00,2024-12-16 08:00:00+00:00,14.43,12.73,16.979999999999997,457.03839122486295,[],[],13.25,72.0,TIME EXIT,-8.18,10.038910505836583,1.2999279250180866,0.8499999999999996,5.890505890505888
