entry_time,exit_time,entry_price,SL,TP,position_size,partial_closes,trailing_stops,exit_price,duration_hours,outcome,profit_pct,consol_range_pct,vol_ratio,atr,risk_percent
2024-09-19 00:00:00+00:00,2024-09-22 00:00:00+00:00,1.451,1.3170000000000002,1.652,6150.061500615006,"[{'time': Timestamp('2024-09-22 00:00:00+0000', tz='UTC'), 'price': np.float64(1.5514999999999999), 'amount': np.float64(2029.520295202952), 'pct': 0.33}]","[{'time': Timestamp('2024-09-22 00:00:00+0000', tz='UTC'), 'price': np.float64(1.62855), 'reason': '3% profit trail'}]",1.555,72.0,TIME EXIT,7.17,9.976617303195646,1.7490271800256567,0.06699999999999995,4.617505168849066
2024-09-19 04:00:00+00:00,2024-09-22 04:00:00+00:00,1.473,1.3629999999999998,1.6380000000000006,6127.450980392156,"[{'time': Timestamp('2024-09-22 04:00:00+0000', tz='UTC'), 'price': np.float64(1.5555000000000003), 'amount': np.float64(2022.0588235294117), 'pct': 0.33}]","[{'time': Timestamp('2024-09-22 04:00:00+0000', tz='UTC'), 'price': np.float64(1.55826), 'reason': '3% profit trail'}]",1.541,72.0,TIME EXIT,4.62,14.419329696024946,1.4042395467836766,0.05500000000000016,3.733876442634091
2024-09-20 00:00:00+00:00,2024-09-23 00:00:00+00:00,1.536,1.3400000000000003,1.8299999999999996,5102.040816326537,[],[],1.549,72.0,TIME EXIT,0.85,19.01792673421668,1.4252992347004025,0.09799999999999986,6.380208333333324
2024-09-20 04:00:00+00:00,2024-09-21 04:00:00+00:00,1.569,1.475,1.7099999999999997,6027.000964320155,[],[],1.479,24.0,TIME EXIT,-5.74,15.194610778443101,2.2487991537310235,0.04699999999999993,2.9955385595920925
2024-09-27 12:00:00+00:00,2024-09-30 12:00:00+00:00,1.727,1.5370000000000001,2.012,5150.391429748661,"[{'time': Timestamp('2024-09-30 12:00:00+0000', tz='UTC'), 'price': np.float64(1.8695), 'amount': np.float64(1699.6291718170582), 'pct': 0.33}]","[{'time': Timestamp('2024-09-30 12:00:00+0000', tz='UTC'), 'price': np.float64(1.8513000000000002), 'reason': '3% profit trail'}]",1.787,72.0,TIME EXIT,3.47,15.137307434695241,1.4943068001017046,0.09499999999999997,5.500868558193397
2024-10-11 12:00:00+00:00,2024-10-14 12:00:00+00:00,1.477,1.321,1.7110000000000003,3896.508728179552,"[{'time': Timestamp('2024-10-14 12:00:00+0000', tz='UTC'), 'price': np.float64(1.5940000000000003), 'amount': np.float64(1285.8478802992522), 'pct': 0.33}]","[{'time': Timestamp('2024-10-14 12:00:00+0000', tz='UTC'), 'price': np.float64(1.68102), 'reason': '3% profit trail'}]",1.677,72.0,TIME EXIT,13.54,7.808946171341924,1.73266168129367,0.07800000000000007,5.280974949221399
2024-10-15 04:00:00+00:00,2024-10-17 16:00:00+00:00,1.778,1.5579999999999998,2.1080000000000005,4096.346059315091,[],[],1.577,60.0,TIME EXIT,-11.3,18.871866295264635,2.547948219921379,0.1100000000000001,6.1867266591676096
2024-10-20 12:00:00+00:00,2024-10-23 12:00:00+00:00,1.732,1.454,2.149,3597.122302158273,[],[],1.563,72.0,TIME EXIT,-9.76,4.887218045112772,2.7909915371095586,0.139,8.02540415704388
2024-10-30 12:00:00+00:00,2024-11-02 12:00:00+00:00,1.556,1.2600000000000002,1.9999999999999998,3378.3783783783806,[],[],1.327,72.0,TIME EXIT,-14.72,6.052269601100418,4.547470138051416,0.1479999999999999,9.51156812339331
2024-11-06 20:00:00+00:00,2024-11-09 20:00:00+00:00,1.522,1.2979999999999998,1.8580000000000003,4464.28571428571,"[{'time': Timestamp('2024-11-09 20:00:00+0000', tz='UTC'), 'price': np.float64(1.6900000000000002), 'amount': np.float64(1473.2142857142844), 'pct': 0.33}]","[{'time': Timestamp('2024-11-09 20:00:00+0000', tz='UTC'), 'price': np.float64(1.683), 'reason': '3% profit trail'}]",1.678,72.0,TIME EXIT,10.25,16.719745222929934,1.203463185144444,0.1120000000000001,7.358738501971097
2024-11-07 00:00:00+00:00,2024-11-10 00:00:00+00:00,1.585,1.323,1.978,3816.793893129771,[],"[{'time': Timestamp('2024-11-10 00:00:00+0000', tz='UTC'), 'price': np.float64(1.66716), 'reason': '3% profit trail'}]",1.671,72.0,TIME EXIT,5.43,22.06572769953052,2.3431275077747644,0.131,8.264984227129338
2024-11-09 04:00:00+00:00,2024-11-12 04:00:00+00:00,1.645,1.3609999999999998,2.0710000000000006,3521.126760563377,"[{'time': Timestamp('2024-11-12 04:00:00+0000', tz='UTC'), 'price': np.float64(1.8580000000000003), 'amount': np.float64(1161.9718309859145), 'pct': 0.33}]","[{'time': Timestamp('2024-11-12 04:00:00+0000', tz='UTC'), 'price': np.float64(1.86516), 'reason': '3% profit trail'}]",1.844,72.0,TIME EXIT,12.1,10.127431254191803,1.4422939218639677,0.14200000000000013,8.63221884498481
2024-11-10 08:00:00+00:00,2024-11-12 08:00:00+00:00,1.734,1.6239999999999997,1.8990000000000005,4524.068041983352,"[{'time': Timestamp('2024-11-12 08:00:00+0000', tz='UTC'), 'price': np.float64(1.8165000000000002), 'amount': np.float64(1492.942453854506), 'pct': 0.33}]","[{'time': Timestamp('2024-11-12 08:00:00+0000', tz='UTC'), 'price': np.float64(1.89585), 'reason': '3% profit trail'}]",1.683,48.0,TIME EXIT,-2.94,11.33290405666453,1.2261246341596457,0.05500000000000016,3.171856978085361
2024-11-23 12:00:00+00:00,2024-11-26 12:00:00+00:00,2.104,1.5460000000000003,2.941,1792.1146953405023,[],[],2.066,72.0,TIME EXIT,-1.81,13.515048268029542,2.4418647674355203,0.2789999999999999,13.260456273764254
2024-11-25 12:00:00+00:00,2024-11-28 12:00:00+00:00,2.3,1.7639999999999993,3.1040000000000005,1865.6716417910432,[],"[{'time': Timestamp('2024-11-28 12:00:00+0000', tz='UTC'), 'price': np.float64(2.4453), 'reason': '3% profit trail'}]",2.335,72.0,TIME EXIT,1.52,22.37613212573256,1.6082835996049691,0.26800000000000024,11.65217391304349
2024-11-27 20:00:00+00:00,2024-11-30 20:00:00+00:00,2.534,2.034,3.284,2000.0,[],[],2.556,72.0,TIME EXIT,0.87,17.615042058386933,1.4175153319974831,0.25,9.865824782951856
2024-12-04 12:00:00+00:00,2024-12-07 12:00:00+00:00,2.82,2.3059999999999996,3.591,1945.525291828793,[],"[{'time': Timestamp('2024-12-07 12:00:00+0000', tz='UTC'), 'price': np.float64(2.97198), 'reason': '3% profit trail'}]",2.968,72.0,TIME EXIT,5.25,17.649519029694694,2.216752554078617,0.2570000000000001,9.11347517730497
2024-12-12 12:00:00+00:00,2024-12-15 12:00:00+00:00,2.832,2.41,3.4649999999999994,1807.1418244903862,[],[],2.7,72.0,TIME EXIT,-4.66,18.802698145025303,1.7795536583444362,0.21099999999999985,7.450564971751408
2025-01-03 12:00:00+00:00,2025-01-06 12:00:00+00:00,2.374,2.126,2.7460000000000004,2712.6736111111113,[],"[{'time': Timestamp('2025-01-06 12:00:00+0000', tz='UTC'), 'price': np.float64(2.4443099999999998), 'reason': '3% profit trail'}]",2.468,72.0,TIME EXIT,3.96,5.629903091832041,2.0219552853107996,0.12400000000000011,5.2232518955349665
