entry_time,entry_price,SL,TP,position_size,partial_closes,exit_time,exit_price,duration_hours,outcome,profit_pct,consol_range_pct,vol_ratio,atr,risk_percent
2024-12-18 16:00:00+00:00,6.248,5.726000000000001,7.030999999999999,3831.4176245210774,[],2024-12-18 20:00:00+00:00,5.726,4.0,LOSS,-8.35,8.827024274316747,2.1532189782877387,0.34799999999999986,5.569782330345708
2024-12-28 12:00:00+00:00,5.304,4.947000000000001,5.839499999999999,5602.240896358554,[],2024-12-29 12:00:00+00:00,5.39,24.0,TIME EXIT,1.62,7.696957485391893,1.4629569147148984,0.23799999999999955,4.487179487179478
2024-12-30 00:00:00+00:00,5.355,4.962,5.9445000000000014,5089.05852417302,[],2024-12-31 00:00:00+00:00,4.962,24.0,LOSS,-7.34,5.53413035094485,1.4969332910550068,0.26200000000000045,4.892623716153136
2025-01-02 04:00:00+00:00,5.353,5.048499999999999,5.809750000000001,6568.144499178963,[],2025-01-03 04:00:00+00:00,5.136,24.0,TIME EXIT,-4.05,8.803329864724246,1.0277586437682942,0.2030000000000003,3.7922660190547415
2025-01-02 08:00:00+00:00,5.391,5.2095,5.66325,11019.283746556488,[],2025-01-02 20:00:00+00:00,5.2095,12.0,LOSS,-3.37,12.154006243496369,1.2161080789647931,0.12099999999999955,2.2444815433129204
2025-01-03 12:00:00+00:00,5.5,5.125,6.0625,5333.333333333333,[],2025-01-04 12:00:00+00:00,5.393,24.0,TIME EXIT,-1.95,6.179116151740318,2.011194819198268,0.25,4.545454545454546
2025-01-03 16:00:00+00:00,5.568,5.4045,5.81325,12232.415902140674,[],2025-01-04 08:00:00+00:00,5.4045,16.0,LOSS,-2.94,7.70434102463825,1.5563658644052358,0.10899999999999999,1.9576149425287355
2025-01-17 08:00:00+00:00,4.133,3.89,4.4975,8230.452674897124,"[{'time': Timestamp('2025-01-17 12:00:00+0000', tz='UTC'), 'price': np.float64(4.31525), 'amount': np.float64(2716.049382716051), 'pct': 0.33}, {'time': Timestamp('2025-01-17 16:00:00+0000', tz='UTC'), 'price': np.float64(4.31525), 'amount': np.float64(1819.7530864197543), 'pct': 0.33}, {'time': Timestamp('2025-01-17 20:00:00+0000', tz='UTC'), 'price': np.float64(4.31525), 'amount': np.float64(1219.2345679012353), 'pct': 0.33}]",2025-01-18 00:00:00+00:00,4.246749,16.0,LOSS,2.75,8.217344753747321,1.1523374100206303,0.16199999999999992,3.9196709412049344
2025-01-17 12:00:00+00:00,4.237,3.793000000000001,4.902999999999999,4504.504504504514,[],2025-01-18 12:00:00+00:00,4.087,24.0,TIME EXIT,-3.54,11.054603854389716,4.196133490051908,0.2959999999999994,6.986075053103597
2025-01-24 12:00:00+00:00,3.861,3.421500000000001,4.520249999999999,4550.625711035274,[],2025-01-25 12:00:00+00:00,3.758,24.0,TIME EXIT,-2.67,11.15013169446884,4.430442029921934,0.2929999999999997,7.58870758870758
2025-01-26 12:00:00+00:00,3.872,3.5195,4.40075,5673.758865248226,[],2025-01-27 00:00:00+00:00,3.5195,12.0,LOSS,-9.1,7.974258533855629,2.3418101554119546,0.23499999999999988,6.069214876033055
2025-01-30 08:00:00+00:00,3.565,3.25,4.0375,6349.20634920635,"[{'time': Timestamp('2025-01-31 08:00:00+0000', tz='UTC'), 'price': np.float64(3.8012499999999996), 'amount': np.float64(2095.2380952380954), 'pct': 0.33}]",2025-01-31 08:00:00+00:00,3.819,24.0,TIME EXIT,7.12,10.172744721689062,1.2353667563481343,0.20999999999999996,5.890603085553996
2025-01-30 12:00:00+00:00,3.602,3.3425,3.99125,7707.129094412329,"[{'time': Timestamp('2025-01-31 08:00:00+0000', tz='UTC'), 'price': np.float64(3.7966249999999997), 'amount': np.float64(2543.352601156069), 'pct': 0.33}, {'time': Timestamp('2025-01-31 12:00:00+0000', tz='UTC'), 'price': np.float64(3.7966249999999997), 'amount': np.float64(1704.046242774566), 'pct': 0.33}]",2025-01-31 12:00:00+00:00,3.957,24.0,TIME EXIT,9.86,14.121405750798727,1.2897739695557708,0.17300000000000004,4.802887284841756
