entry_time,entry_price,SL,TP,position_size,partial_closes,exit_time,exit_price,duration_hours,outcome,profit_pct,consol_range_pct,vol_ratio,atr,risk_percent
2024-09-03 00:00:00+00:00,1.592,1.4225,1.84625,11799.410029498526,[],2024-09-04 00:00:00+00:00,1.51,24.0,TIME EXIT,-5.15,13.043478260869579,3.9115913338845845,0.11299999999999999,7.097989949748743
2024-09-04 16:00:00+00:00,1.602,1.518,1.7280000000000002,23809.523809523787,[],2024-09-05 16:00:00+00:00,1.51,24.0,TIME EXIT,-5.74,13.742071881606769,1.2049199175172305,0.05600000000000005,3.4956304619226
2024-09-08 20:00:00+00:00,1.571,1.4315,1.7802499999999999,14336.917562724018,[],2024-09-11 20:00:00+00:00,1.542,72.0,TIME EXIT,-1.85,5.886379192334008,1.417266041052102,0.09299999999999997,5.919796308084021
2024-09-09 16:00:00+00:00,1.682,1.484,1.9789999999999999,10101.010101010103,[],2024-09-12 16:00:00+00:00,1.559,72.0,TIME EXIT,-7.31,7.489878542510121,3.074388531394874,0.1319999999999999,7.847800237812122
2024-09-09 20:00:00+00:00,1.671,1.488,1.9455,10928.961748633878,[],2024-09-12 20:00:00+00:00,1.56,72.0,TIME EXIT,-6.64,13.90013495276653,2.1123613218060275,0.12200000000000011,7.301017354877325
2024-09-13 16:00:00+00:00,1.608,1.5225000000000002,1.73625,23391.8128654971,[],2024-09-15 20:00:00+00:00,1.502,52.0,TIME EXIT,-6.59,7.451763140385902,1.4677532256433854,0.05699999999999994,3.5447761194029814
2024-09-17 12:00:00+00:00,1.556,1.442,1.7270000000000003,17543.85964912279,"[{'time': Timestamp('2024-09-20 12:00:00+0000', tz='UTC'), 'price': np.float64(1.6415000000000002), 'amount': np.float64(5789.473684210521), 'pct': 0.33}]",2024-09-20 12:00:00+00:00,1.792,72.0,TIME EXIT,15.17,5.995864920744311,2.3845863709047896,0.07600000000000007,4.884318766066842
2024-09-18 20:00:00+00:00,1.618,1.3900000000000001,1.96,8771.929824561405,"[{'time': Timestamp('2024-09-21 20:00:00+0000', tz='UTC'), 'price': np.float64(1.7890000000000001), 'amount': np.float64(2894.736842105264), 'pct': 0.33}]",2024-09-21 20:00:00+00:00,1.776,72.0,TIME EXIT,9.77,9.556786703601116,1.334076445391446,0.1519999999999999,9.394313967861551
2024-09-19 00:00:00+00:00,1.68,1.5269999999999997,1.9095000000000004,13071.89542483658,[],2024-09-22 00:00:00+00:00,1.732,72.0,TIME EXIT,3.1,12.603878116343486,2.4511210672096038,0.10200000000000009,6.0714285714285765
2024-09-19 04:00:00+00:00,1.717,1.5985,1.8947500000000002,16877.637130801682,[],2024-09-22 04:00:00+00:00,1.723,72.0,TIME EXIT,0.35,17.243767313019397,1.7850737322795722,0.07899999999999996,4.601048340128128
2024-09-19 08:00:00+00:00,1.733,1.6535000000000002,1.85225,25157.232704402548,[],2024-09-22 08:00:00+00:00,1.694,72.0,TIME EXIT,-2.25,19.806094182825486,1.2552602744646886,0.052999999999999936,3.0582804385458706
