2025-02-09 16:00:03,230 - ERROR - Binance API exception: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
2025-02-09 16:04:20,387 - ERROR - Binance API exception: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
2025-02-09 16:04:21,670 - ERROR - Binance API exception: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
2025-02-09 16:06:12,604 - ERROR - Binance API exception: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
2025-02-09 16:06:13,897 - ERROR - Binance API exception: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
2025-02-09 16:07:11,375 - ERROR - Binance API exception: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
2025-02-09 16:07:12,661 - ERROR - Binance API exception: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
2025-02-09 16:08:09,220 - ERROR - Binance API exception: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
2025-02-09 16:10:38,703 - ERROR - Binance API exception: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
2025-02-09 16:10:39,985 - ERROR - Binance API exception: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
2025-02-09 16:11:46,329 - ERROR - Binance API exception: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
2025-02-09 16:15:03,471 - ERROR - Binance API exception: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
